	faith_pd
UNKGMB37	58.229420000000005
UNKGMB10	54.79453
UNKGMB19	51.41414999999999
UNKGMB7	47.43330999999999
UNKGMB6	54.85698
UNKGMB38	50.34892
LSGMB16	51.21677
UNKGMB5	56.080169999999995
UNKGMB24	50.63432
UNKGMB26	48.58082
LSGMB10	53.71554
UNKGMB28	45.912530000000004
RSGMB3	53.837819999999994
LFGMB1	50.13864999999999
RSGMB4	47.37353999999999
UNKGMB36	50.167460000000005
RSGMB5	50.2372
UNKGMB12	52.78074000000001
G12MB13	41.826010000000004
UNKGMB25	49.14787
RSGMB6	46.80795
G12MB10	46.562239999999996
UNKGMB30	53.89961
UNKGMB14	51.83372
UNKGMB13	53.67143
G2MB7	41.087039999999995
UNKGMB8	52.16815
G12MB2	38.011790000000005
AGMB6	38.07131
UNKGMB21	49.07898
G12MB17	43.179289999999995
G2MB14	48.835190000000004
LSGMB14	51.46368
G12MB7	36.49527
LSGMB11	44.5743
UNKGMB34	53.632929999999995
UNKGMB20	49.86254999999999
G2MB6	44.27901
RSGMB7	47.496759999999995
LSGMB15	50.52155
UNKGMB27	49.35429
UNKGMB29	49.719500000000004
RSGMB1	49.07144999999999
URGMB11	38.38153
G2MB12	40.722240000000006
LSGMB13	55.802189999999996
URGMB13	42.02987
URGMB12	44.36149
LSGMB20	53.4007
UNKGMB33	51.49811999999999
LSGMB1	52.80962
LSGMB17	51.19413
G2MB9	45.90151
G2MB11	45.63661999999999
G12MB14	33.72012
URGMB2	42.371840000000006
G2MB3	41.52389999999999
URGMB5	42.91474
G12MB3	38.60677
G2MB13	47.87761
G12MB11	39.10810000000001
G2MB10	42.469899999999996
G12MB4	36.28511
URGMB4	40.45755
URGMB6	39.8157
G12MB1	35.13805
G2MB15	46.92497
URGMB14	46.1078
AGMB2	44.7998
AGMB7	38.39278
UNKGMB35	52.890719999999995
URGMB3	42.10184
LSGMB19	48.22393
FRCMB4	20.006389999999996
AGMB1	34.23863
FRCMB1	29.91536
UNKGMB18	55.2
UNKGMB23	51.56769
UNKGMB17	50.76017
AGMB5	38.34945
UNKGMB22	51.243730000000006
UNKGMB4	51.603500000000004
UNKGMB15	51.2501
G12MB5	48.365069999999996
G12MB16	29.56465
G2MB4	45.48535
UNKGMB9	51.48725
G2MB8	42.409209999999995
G2MB2	39.47769
UNKGMB11	53.547529999999995
URGMB8	41.45486
URGMB7	40.15361
G12MB9	43.973569999999995
URGMB9	41.89823
AGMB3	45.07619
G12MB6	46.84906
G12MB8	42.02778
FRCMB2	17.76397
URGMB10	32.393679999999996
FRCMB3	23.329189999999997
AGMB4	38.51202
URGMB1	41.2292
FRCMB5	36.779059999999994
G2MB1	39.80649
