	observed_otus
UNKGMB37	1071
UNKGMB10	1020
UNKGMB19	863
UNKGMB7	810
UNKGMB6	1010
UNKGMB38	895
LSGMB16	905
UNKGMB5	1055
UNKGMB24	852
UNKGMB26	848
LSGMB10	948
UNKGMB28	788
RSGMB3	965
LFGMB1	854
RSGMB4	831
UNKGMB36	862
RSGMB5	858
UNKGMB12	929
G12MB13	684
UNKGMB25	894
RSGMB6	805
G12MB10	727
UNKGMB30	939
UNKGMB14	909
UNKGMB13	961
G2MB7	573
UNKGMB8	902
G12MB2	564
AGMB6	580
UNKGMB21	831
G12MB17	695
G2MB14	765
LSGMB14	875
G12MB7	544
LSGMB11	727
UNKGMB34	979
UNKGMB20	833
G2MB6	708
RSGMB7	804
LSGMB15	889
UNKGMB27	841
UNKGMB29	845
RSGMB1	850
URGMB11	569
G2MB12	662
LSGMB13	1005
URGMB13	635
URGMB12	714
LSGMB20	922
UNKGMB33	929
LSGMB1	911
LSGMB17	906
G2MB9	698
G2MB11	712
G12MB14	473
URGMB2	675
G2MB3	645
URGMB5	696
G12MB3	610
G2MB13	766
G12MB11	608
G2MB10	656
G12MB4	557
URGMB4	633
URGMB6	633
G12MB1	508
G2MB15	745
URGMB14	737
AGMB2	690
AGMB7	583
UNKGMB35	948
URGMB3	658
LSGMB19	799
FRCMB4	228
AGMB1	484
FRCMB1	389
UNKGMB18	1043
UNKGMB23	870
UNKGMB17	884
AGMB5	576
UNKGMB22	885
UNKGMB4	887
UNKGMB15	894
G12MB5	765
G12MB16	396
G2MB4	757
UNKGMB9	900
G2MB8	655
G2MB2	610
UNKGMB11	934
URGMB8	692
URGMB7	602
G12MB9	692
URGMB9	659
AGMB3	731
G12MB6	752
G12MB8	623
FRCMB2	188
URGMB10	419
FRCMB3	277
AGMB4	575
URGMB1	635
FRCMB5	495
G2MB1	615
