	shannon
UNKGMB37	7.522374213725513
UNKGMB10	7.570954622166147
UNKGMB19	7.02964514274966
UNKGMB7	7.293943012274668
UNKGMB6	7.5010241371171675
UNKGMB38	7.193553791103932
LSGMB16	7.165678411535342
UNKGMB5	7.45532635154315
UNKGMB24	6.97025136863719
UNKGMB26	6.86628504374259
LSGMB10	7.289194927549993
UNKGMB28	6.780525087680562
RSGMB3	7.250875516383515
LFGMB1	7.057469126579563
RSGMB4	7.11484186830126
UNKGMB36	7.162577851689567
RSGMB5	7.045730078155785
UNKGMB12	7.326967500081581
G12MB13	6.679523436866572
UNKGMB25	7.011086624354663
RSGMB6	6.930159410881097
G12MB10	6.686194776856592
UNKGMB30	7.516994709815106
UNKGMB14	7.533524421842095
UNKGMB13	7.338567685142438
G2MB7	5.958800648488933
UNKGMB8	7.41909354780223
G12MB2	5.830390439312924
AGMB6	5.346364189691377
UNKGMB21	7.130584067427907
G12MB17	6.199195780981268
G2MB14	6.754487081571772
LSGMB14	7.11786295400196
G12MB7	5.830528009436859
LSGMB11	6.585769651402207
UNKGMB34	7.455566215723997
UNKGMB20	7.257628942882793
G2MB6	6.746884204645727
RSGMB7	6.884489427248238
LSGMB15	7.0813861618107214
UNKGMB27	6.890268397732677
UNKGMB29	6.891759854018867
RSGMB1	6.980252872553208
URGMB11	6.117794532954557
G2MB12	6.110678596695389
LSGMB13	7.660997350970114
URGMB13	6.453441707330214
URGMB12	6.686268776974958
LSGMB20	7.375417545480417
UNKGMB33	7.168826206009707
LSGMB1	7.110382842613019
LSGMB17	7.27032747812562
G2MB9	6.362835344637974
G2MB11	7.12215140119383
G12MB14	3.5002115976533017
URGMB2	6.714320510003679
G2MB3	6.655988660395658
URGMB5	6.626410954319823
G12MB3	5.9049404589719945
G2MB13	7.114003775423993
G12MB11	5.992158372102072
G2MB10	6.350914835118791
G12MB4	5.4434952238142
URGMB4	6.3916210922392835
URGMB6	6.261060305710509
G12MB1	5.172353297186314
G2MB15	6.792526010580379
URGMB14	6.959546369362173
AGMB2	6.501379405264438
AGMB7	5.875346294182013
UNKGMB35	7.488124981887465
URGMB3	6.580853804526551
LSGMB19	6.936532027530809
FRCMB4	3.1375472075103725
AGMB1	5.038407903130672
FRCMB1	4.271803376873497
UNKGMB18	7.570522028878681
UNKGMB23	7.297298359317121
UNKGMB17	7.137900594940929
AGMB5	5.77102248983111
UNKGMB22	7.3509125097896115
UNKGMB4	7.0601501866462995
UNKGMB15	7.386338986915319
G12MB5	6.896753987549866
G12MB16	2.6262537672466366
G2MB4	6.852121308090381
UNKGMB9	7.280492748037871
G2MB8	6.7166094284094
G2MB2	6.052491455557291
UNKGMB11	7.323496854685301
URGMB8	6.333283496837783
URGMB7	6.074823883771558
G12MB9	6.333514101012314
URGMB9	6.338752638064804
AGMB3	6.783465986372696
G12MB6	6.968463116956908
G12MB8	4.782237480642613
FRCMB2	3.3341797657925936
URGMB10	5.603768267251243
FRCMB3	4.1685824046311435
AGMB4	4.973686426612667
URGMB1	6.410819131126156
FRCMB5	5.523188064508209
G2MB1	6.4454956162701995
