parasite_load	None	None	Moderate	Moderate	None	Moderate	Moderate	Moderate	Low	Low	None	None	Moderate	Low	None	Low	Low	Low	None	Low	Moderate	None	Low	Moderate	Low	Moderate	Low	None	Moderate	Low	Low	Low	Moderate	Moderate	Low	Moderate	Low	None	Low	None	None	None	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	None	Low	Moderate	Moderate	Low	None	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	None	Moderate	None	Low	None	Moderate	None	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	None	None	None	Low	Low	None	None	Low	Low	Low	Low	Low	Moderate
subject_id	AGMB1	AGMB2	AGMB3	AGMB4	AGMB5	AGMB6	AGMB7	FRCMB1	FRCMB2	FRCMB3	FRCMB4	FRCMB5	G12MB1	G12MB10	G12MB11	G12MB13	G12MB14	G12MB16	G12MB17	G12MB2	G12MB3	G12MB4	G12MB5	G12MB6	G12MB7	G12MB8	G12MB9	G2MB1	G2MB10	G2MB11	G2MB12	G2MB13	G2MB14	G2MB15	G2MB2	G2MB3	G2MB4	G2MB6	G2MB7	G2MB8	G2MB9	LFGMB1	LSGMB1	LSGMB10	LSGMB11	LSGMB13	LSGMB14	LSGMB15	LSGMB16	LSGMB17	LSGMB19	LSGMB20	RSGMB1	RSGMB3	RSGMB4	RSGMB5	RSGMB6	RSGMB7	UNKGMB10	UNKGMB11	UNKGMB12	UNKGMB13	UNKGMB14	UNKGMB15	UNKGMB17	UNKGMB18	UNKGMB19	UNKGMB20	UNKGMB21	UNKGMB22	UNKGMB23	UNKGMB24	UNKGMB25	UNKGMB26	UNKGMB27	UNKGMB28	UNKGMB29	UNKGMB30	UNKGMB33	UNKGMB34	UNKGMB35	UNKGMB36	UNKGMB37	UNKGMB38	UNKGMB4	UNKGMB5	UNKGMB6	UNKGMB7	UNKGMB8	UNKGMB9	URGMB1	URGMB10	URGMB11	URGMB12	URGMB13	URGMB14	URGMB2	URGMB3	URGMB4	URGMB5	URGMB6	URGMB7	URGMB8	URGMB9
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	0.70483124	1.40949689	1.64795874	0.90082208	-0.61650346	-0.61038235	0.0818792	0.90298056	0.45741921	-0.39622769	1.2034194	0.45188237	2.24151335	0.59096899	-1.27680541	-1.37707463	0.03287268	-0.52325448	-1.37884309	1.37330257	0.11072552	0.55020607	0.72291658	1.39915971	-0.48362984	0.70470435	0.51479431	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-1.68737376	-1.91945101	-1.3457614	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	-1.74398181	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-0.90977773	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc	0.01168406	-0.78772769	-0.05678935	0.90082208	-1.30846003	0.48822994	0.48734431	0.90298056	1.84371358	0.29691949	0.91573733	-1.33792241	1.54836617	-0.10217819	-1.27680541	-1.37707463	0.03287268	0.86303988	-1.37884309	0.90329895	0.11072552	0.14474096	1.51137394	0.30054742	0.20951734	-0.68159001	-1.27507539	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-1.68737376	-1.91945101	-1.3457614	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	-1.74398181	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	0.01168406	1.69717896	4.51275365	1.77629082	-1.30846003	0.77591201	0.99816993	1.12612411	3.16546942	-1.08704151	-0.18287496	0.45188237	2.4646569	0.81411254	-1.27680541	-1.37707463	0.03287268	1.26850499	-1.37884309	1.0856205	-1.27452605	1.24335325	1.51137394	0.9936946	0.61498245	0.92784791	0.1093292	-1.2576732	-1.61403844	1.27689962	-1.29921509	-0.99514746	-1.91945101	-0.65412118	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	2.63712248	-1.44314392	-1.4632791	3.33240963	-1.45782059	-0.96719949	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	1.57512892	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-0.64701726	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	2.75252408	3.71208198	2.74657103	1.08314364	-1.30846003	-1.30230721	0.99816993	1.12612411	9.36041888	2.97106814	1.2034194	2.18648343	4.19454096	3.29901919	2.305286	3.53441719	3.91443648	2.24933424	1.95191141	3.10052352	0.8038727	3.61047686	2.10921094	1.84099246	-0.48362984	0.92784791	0.1093292	4.4513429	3.06716198	5.44614549	2.65068964	3.08238999	5.20089914	5.42352106	2.17962143	3.20513087	1.82834808	1.6902864	3.99522343	2.43661483	2.88006866	-0.05758486	-1.4632791	-1.6503841	-1.45782059	-0.96719949	-1.38759769	-0.70814452	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-0.86200846	-1.3942466	-0.77283264	-0.67971322	0.01386458	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-0.88861029	-0.7842005	-1.55025701	0.32800486	-0.09275704	-1.3968404	-1.47767338	-0.11689563	-0.70210295	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-0.83941167	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-0.90977773	-1.3095832	-0.09857968	-1.44156652	-1.45205663	-1.49409722	-0.79117885	-1.29380915	2.71981615	7.39964247	0.76705149	1.12265135	0.05344417	0.85714922	1.22423714	0.83077138	1.02318017	1.43242428	1.27191447	3.57852717	0.20253486	1.72143859
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	8.58856	8.484366	8.585538	7.997047	8.348448	8.308803	8.451964	9.188116	5.650376	8.071145	9.897461	7.215767	8.519847	8.439122	8.785671	8.806511	8.114811	7.738788	8.139295	8.603504	8.694549	8.616728	8.686585	8.765816	9.131375	7.40143	7.948461	8.858627	8.430191	8.418409	8.951264	8.278262	7.811871	8.270535	8.417164	8.781971	8.864497	8.252307	8.246926	8.570793	8.067345	8.724968	8.46665	8.677689	8.322104	8.403813	8.466653	8.455523	8.652014	8.602306	8.124061	8.457904	8.744069	8.489397	9.02583	8.880461	8.769802	8.9433	8.817441	8.738771	8.903687	8.855034	8.459141	8.820948	8.68463	8.484897	8.413274	8.300987	8.32113	8.573662	8.348655	8.346647	8.540734	8.433854	8.70475	8.375333	8.253106	8.346329	8.690066	8.50549	8.810572	8.648358	8.401493	8.755862	8.789556	8.865911	8.691898	8.747138	8.958691	8.903103	8.495485	7.133182	8.373066	8.173121	8.463831	8.187718	8.528193	8.35695	8.384429	8.244907	8.511847	8.072766	8.720528	8.509158
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	-1.373358889	0.3108846	1.041822934	-0.015468648	0.482108828	1.469059194	1.585956596	-0.4833138	-0.927359192	-1.087041515	-0.874770511	-1.337922409	-1.446084861	0.814112538	1.024352151	0.008056664	-1.352466334	-1.215468264	-1.378843091	-1.398006495	-1.274526052	0.837888142	-1.578557604	-0.79806487	0.209517339	-1.373316389	-0.583817979	0.12721024	-0.228674887	0.4659694	-1.299215088	-0.302000275	-1.227206133	-1.345761404	-0.528428774	-0.726694759	1.039890719	1.179460777	-1.134675284	0.316351295	-0.358609793	5.769889089	3.199181373	3.812634809	2.325651997	3.576095294	3.686584647	3.466242747	3.769293492	4.014683521	3.792806611	4.66109398	5.883173979	3.942012586	3.249249683	3.669818617	4.813348224	5.939456385	4.044177014	5.114518926	4.43261386	4.46951864	4.384389272	5.214736063	3.786503048	3.492072445	4.251048387	5.08211084	3.725455287	4.52749527	4.060070984	3.231776479	3.284944157	3.66329185	5.722638652	3.165134757	4.699482207	4.412861762	3.863493372	3.922816192	4.284680763	3.95538262	3.852396204	5.282365593	4.314218617	3.328310146	3.622286509	5.056118439	6.057887435	4.818913053	-1.190651526	0.150782841	-0.619242867	-0.48678656	-1.331483215	0.16400204	0.818772033	-1.247028198	0.106889434	0.046129919	0.424616605	0.11279127	-0.49061232	-1.167453355
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	4.7695753	4.2998686	5.0848742	4.900856	4.519295	4.201802	4.8776697	1.5961277	2.7600043	0.2969195	-0.8747705	4.3705499	2.2903035	3.6354914	4.4453522	3.825769	3.4668599	2.9107327	3.7787622	4.1991358	2.6756749	2.4473261	3.7578696	3.8170556	2.6518644	2.3629324	2.4119143	3.7245225	3.2525652	3.5570119	4.5165571	3.6100227	2.533994	2.5647546	2.4673035	3.5074117	4.1489517	3.051263	4.3459636	4.3995226	4.072207	2.9128296	2.9424615	3.3857556	4.9679508	4.6386026	4.8339871	4.397801	4.5499	4.55857	3.2552235	3.5582712	3.9551321	5.9902341	2.9355921	2.6929033	4.1954841	2.8760655	4.2577511	2.9942554	4.7768353	4.954199	4.8218167	2.6169969	5.473614	4.9977136	3.1059161	4.4937105	4.6570135	4.3139212	3.6417025	4.1312601	5.3202438	3.3003864	4.250483	4.808764	4.0601377	4.9320295	4.051235	3.586344	3.1860685	3.5730132	3.5210391	2.8789758	3.0369145	4.1707536	3.544325	3.34132	3.5526266	3.6178858	3.3721413	3.4088794	3.3880903	3.7898796	3.0738691	2.9048421	4.0475982	3.9103851	3.8680895	3.8527924	3.1761519	3.2038337	3.840121	3.3743616
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	5.135648	5.221085	5.918292	5.260092	5.372458	5.633785	5.737871	4.407035	3.347791	1.21321	1.896567	5.577829	5.744063	5.188611	5.373339	6.924772	5.966443	5.197057	5.93559	5.878652	6.615014	6.33095	5.512074	5.436346	6.563017	4.799049	5.129915	6.476349	6.57594	5.561252	6.007319	5.615549	4.983394	5.309458	6.627748	6.200863	4.864175	5.83975	4.714649	6.411425	6.223415	7.147679	7.011697	6.244611	6.936262	6.513229	6.865159	6.915986	7.018667	6.89426	7.161467	6.283888	6.378984	6.491714	6.835436	6.767789	6.355555	6.360378	6.798747	6.31046	6.84392	6.829561	6.458045	6.357045	6.242964	6.556516	6.678606	6.473759	6.454528	6.724186	6.09918	6.333182	6.977	6.392375	6.308137	6.763637	6.71338	6.554467	6.798159	6.654397	6.546711	6.286528	6.638251	6.752069	6.818135	6.504951	6.424889	7.091757	6.559979	6.297093	6.08849	6.093582	7.036148	6.794599	6.627822	6.705032	6.347209	6.673591	6.635578	7.0276	7.160001	6.369501	6.563837	6.295003
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-1.3788431	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-1.6140384	-1.6123478	-1.2992151	-1.6873738	-1.919451	-1.3457614	-1.2201833	-1.418683	-1.2612432	-0.6122987	-1.8269496	-1.47417	-1.7439818	-1.4431439	-0.7711105	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-0.6792826	-1.301793	-1.2812935	2.1688686	1.9518222	-1.5809037	-1.4765328	1.9147009	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-1.232962	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-1.3659894	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Sarcina	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	4.5002928	4.2416088	-1.0870415	3.1844209	7.424801	0.6320754	-0.7953254	-1.2768054	-1.3770746	-1.3524663	-1.2154683	0.922292	2.9827405	0.1107255	-1.2404597	-0.8865213	-1.4898479	-1.1755128	-1.3733164	-1.2750754	0.5326753	-1.6140384	-1.6123478	-1.2992151	-1.6873738	-0.534059	0.039026	1.0810091	-1.418683	-1.2612432	-1.3037433	-1.8269496	-1.47417	-0.3586098	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	0.1940875	-1.232962	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-0.6470173	-1.3659894	-1.2719054	-0.4906123	0.6228263
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-1.3788431	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-0.5659369	-1.6140384	-1.6123478	-1.2992151	-1.6873738	-1.919451	-1.3457614	-1.2201833	-1.418683	-1.2612432	-1.3037433	-1.8269496	-1.47417	-1.7439818	1.1951781	-1.4632791	1.1213917	-1.4578206	1.2300251	2.3956005	2.3363779	2.6378914	2.3710542	2.5449819	2.3668771	4.5111997	3.8293394	2.5168818	2.2228996	2.7214842	3.8093538	-1.301793	0.1038836	1.2037877	1.6416672	1.5962964	1.8548568	-0.1647407	-1.4628853	1.922146	-1.3968404	-1.4776734	-1.502313	0.6841914	-1.3315273	-1.4147109	-1.2627362	2.6410451	-1.3558233	-1.2859342	-0.8394117	-1.35047	0.7241431	2.4929213	0.3811661	-0.2166305	1.1742277	2.0414865	-1.4415665	2.7666204	2.2892277	1.4060457	1.1901375	-1.1906515	-1.232962	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-0.6739957	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-1.3788431	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-1.6140384	-1.6123478	-1.2992151	-1.6873738	-1.919451	-1.3457614	-1.2201833	-1.418683	-1.2612432	-1.3037433	-1.8269496	-1.47417	-1.7439818	2.5451048	3.5855983	1.7500004	3.0632509	3.5326102	3.7704661	3.802715	3.7692935	3.5122261	2.3557399	2.7723422	1.9925549	3.2488654	2.6653018	2.6929033	3.1269493	2.2110892	3.1278863	2.5462307	2.6796942	2.7701325	3.154441	2.6815354	3.7270796	3.6953007	3.620815	3.3025466	3.8395686	3.6443045	2.9867765	3.8032267	3.9315713	3.0127043	4.2010029	3.5560011	3.069739	3.6714478	2.8074407	3.6945575	3.409212	3.9459929	3.7630511	2.9659872	2.674009	2.3862669	3.8252274	3.0693863	2.9930108	3.2485257	-1.1906515	-1.232962	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-0.6739957	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis	-1.37335889	-1.47973567	-1.44182822	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-1.48736912	-1.27680541	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-1.68737376	-1.91945101	-1.3457614	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	-1.74398181	-0.75073204	1.17479961	0.98786033	-1.45782059	0.82455998	-1.38759769	0.39046777	-0.763306	-0.76443997	-0.12916673	1.13473346	1.64424819	0.5242859	1.49523054	1.42439194	0.41889907	1.26662755	-1.30179305	1.02017436	2.21538862	2.6110678	2.80026917	1.61369477	0.24072444	-1.46288528	-0.09275704	-0.70478654	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	0.52779763	-0.03310356	-1.35582331	0.79247174	0.25920062	-1.35046995	0.94728663	-0.76517524	-1.40964044	0.18883456	1.9474176	0.5945675	-0.7492273	1.03201934	1.14409543	0.81825906	-0.60162195	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	-1.37335889	-1.47973567	-1.44182822	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-1.48736912	-1.27680541	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-1.68737376	-1.91945101	-1.3457614	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	-1.74398181	1.64716323	0.32750175	1.81453891	1.18051969	3.29548039	-0.69544199	2.18222724	1.63458927	1.53814512	2.22220853	1.38604788	2.7969277	2.89919166	2.18837772	1.42439194	1.26619693	1.40015894	2.6483132	1.71332154	2.81322562	3.1755976	2.69490865	2.30684195	2.54330953	3.05803396	2.58139161	1.49243804	-0.09225704	2.23447963	1.08965652	1.44001701	1.35705251	1.03862326	1.47097383	0.43510565	1.35208753	2.33864216	1.64428989	1.97690604	-0.76517524	1.07431325	1.16966381	0.99190615	3.21560633	3.69342396	1.43748445	2.3336795	1.77377051	1.00781597	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-0.67399568	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	5.904709	6.45507	6.532825	6.06675	6.711934	6.376184	5.977658	6.734863	7.956566	7.473556	7.217135	5.522881	5.7752	6.567954	6.749244	7.026011	5.468776	5.683321	6.15767	5.954436	6.527458	6.006951	6.857182	6.652596	7.756491	6.294758	7.205222	6.617175	6.153141	6.204958	6.684249	6.559711	5.598254	6.308122	6.265037	6.757112	7.153573	6.389857	5.265582	7.081006	6.219947	6.855158	7.065259	7.140593	8.383075	7.366552	7.383556	7.22923	7.471524	7.441598	7.104289	6.895886	6.886877	7.803087	7.445873	6.822555	7.53177	7.091363	7.23171	6.94068	7.078016	6.988775	7.006826	6.834051	7.742911	7.940671	6.895195	7.122454	7.512637	7.2618	6.714877	7.349458	8.048516	6.729658	6.668242	7.873293	7.294512	7.39356	7.162144	7.444665	7.231815	7.05741	7.645097	6.848696	7.235423	8.448939	7.837926	6.786003	7.410207	6.915355	6.481946	6.038275	7.22891	6.303311	6.391154	6.117245	6.5358	6.2502	6.31749	6.292237	7.242812	6.216468	6.67101	6.354008
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	1.51576145	3.40192705	3.1818891	4.7803219	3.23364414	2.56767148	3.21737341	0.90298056	-0.92735919	-1.08704151	0.51027222	-1.33792241	-0.06107175	2.34016884	2.45943668	5.03522126	2.97731166	2.18479572	4.88119858	0.90329895	1.36348849	0.83788814	1.82152887	2.72829566	3.75047666	-1.37331639	-1.27507539	0.12721024	-0.92182207	1.91288838	5.80276799	1.5698019	4.6076046	0.95531673	2.72966776	6.65356103	3.19165292	3.62180781	-1.13467528	4.02992336	3.1226303	-0.75073204	2.11926122	1.52685683	3.59131837	2.92462081	3.29354206	2.58769234	2.56889851	3.20585194	1.95027482	1.75377266	2.20386398	3.31237881	2.38904842	-0.77283264	2.31601905	1.11247687	2.72242117	1.20249592	2.7078651	2.5018685	1.81943991	1.61369477	-1.55025701	1.8684499	-0.09275704	2.43070768	3.53208389	1.26939873	2.93548321	3.45492003	4.54030116	3.45453704	2.1069626	3.70594121	2.40190966	2.6570959	2.59980133	3.82648508	2.99602487	1.22846393	2.67374121	1.57969282	2.60947052	2.98844232	3.15228288	2.37623912	1.98140987	3.42372974	1.6981649	2.34800742	2.99167505	3.70286818	3.65075643	5.54159259	3.3643033	2.94098458	1.4931838	4.21279514	5.18679054	-1.27190544	1.99429433	3.16180018
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	4.743487	5.434849	5.558162	5.797168	5.519061	5.258915	5.238057	6.562463	8.1674	4.034589	6.519085	5.78621	6.017717	5.144846	5.828373	6.621441	5.245087	5.025822	5.800538	5.663762	5.908302	6.209688	5.287265	5.05126	5.694314	4.660744	5.279813	6.035293	5.740033	5.292281	5.987007	5.40511	5.032375	5.264773	6.08092	5.93516	5.134235	5.213701	5.037025	5.785817	5.050802	6.420925	6.022356	6.619072	6.388443	6.476464	6.198214	6.221372	6.185591	6.490445	6.278538	5.440727	6.638641	6.511993	6.906877	6.219264	6.5906	6.636601	6.604721	6.25342	6.684947	6.820894	6.113546	6.287373	6.512343	6.16379	6.144591	5.608762	6.148019	5.796607	5.900485	5.782198	6.662221	6.435881	5.773536	6.485625	5.744771	6.015997	6.009933	6.214113	6.509997	5.705801	6.500569	6.77265	6.831915	7.855244	6.975256	6.835902	7.112048	6.75338	5.801726	5.244533	5.784331	5.196793	5.960167	5.257752	6.230418	5.584362	5.913529	5.524683	5.929948	5.713063	5.812007	5.646707
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Butyrivibrio	0.01168406	2.20800459	1.81501282	2.62358868	1.58072112	0.08276483	1.18049149	-1.17531117	-0.23572797	-1.08704151	-0.87477051	1.14502955	0.85521899	1.68958128	2.59296807	2.40595194	1.41916704	1.42265567	1.25876423	2.38490349	1.36348849	2.15964398	2.4807745	2.42081096	2.00127681	1.26432014	1.6134066	2.56955728	2.25623176	2.54541094	2.03165044	3.30891764	0.97001844	1.13763829	1.08100914	2.26903752	1.7330379	0.4863136	2.08420054	2.82865692	2.86026603	4.83276427	3.83405965	4.59877825	3.27766081	5.18553321	3.3299097	3.89702566	3.90013309	3.61758666	4.2275421	4.27641964	4.7161696	4.73270292	4.84318341	5.07071178	3.00916623	2.21108916	4.84553778	4.38054975	5.07238115	5.32827138	5.38237815	4.43073526	4.3515983	5.50603606	4.51740069	3.00878553	2.9757959	3.667294	3.35834006	3.04945492	3.92200187	3.55631973	3.18577226	3.86909285	2.62505321	4.31964363	4.16198636	3.76866551	3.93530512	3.70139439	3.40771038	2.47351069	4.90200528	6.45268902	4.32166424	4.29193549	3.78353213	2.92473858	1.8988356	0.84393002	2.676594	1.81579853	2.13288571	1.86875013	2.6105315	2.15252722	1.97869161	1.75087801	2.09859304	2.51068654	1.70661226	1.82679911
