SpeciesCommonName	SpeciesScientificName	CaptivityIndex	CaptiveWild	Population	AnimalID	Sex	Age	AgeClass	CollectionCondition
red-shanked-douc	Pygathrix nemaeus	0	Wild	Right Scar Group	RSG_AM (RSM)	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	Right Scar Group	RSG_AM (RSM)	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	Right Scar Group	RSG_AM (RSM)	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	Right Scar Group	RSG_AM (RSM)	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	Right Scar Group	RSG_SubAM_1	Male	Unknown	Subadult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_1	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_2	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_3	Female	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_4	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_5	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_6	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_7	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_8	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_9	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_10	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_11	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_12	Unknown	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_13	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_14	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_15	Unknown	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_16	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_17	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_18	Female	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_19	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_20	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_21	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_22	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_23	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_24	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_25	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_26	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_27	Female	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_28	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_29	Male	Unknown	Adult	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_30	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_31	Unknown	Unknown	Unknown	Natural Environment
red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	UNKG_Unknown_32	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.1	Male	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.10	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.11	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.12	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.13	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.14	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.2	Female	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.3	Female	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.4	Female	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.5	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.6	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.7	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.8	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	UNKG_River	URG.9	Unknown	Unknown	Unknown	Natural Environment
