sampleID	pielou_e	faith_pd	observed_otus	shannon
St_Patrick	0.6593951539624845	33.53782	470	5.853132258630831
Abita	0.7338415519321909	40.09337	629	6.822463417439836
Callopie	0.6956851693842875	41.36908	654	6.506845533572744
Alana	0.6854019124048907	36.46161	539	6.21943391200308
Unknown	0.6522077952923392	36.21027	560	5.954189549081472
Dyani	0.6623783669668296	36.205890000000004	561	6.048744500942727
Abu	0.5011778185483613	26.20187	333	4.1995585708001055
Captive_Baby	0.44716788354215997	15.531789999999999	170	3.31324166324916
Marra	0.5307854959863545	19.283330000000007	227	4.154218420687962
Nilsson	0.41171857622882063	17.92661	196	3.1351174954146983
Unknown_FRC5	0.6241854908245746	32.70405	445	5.491372677623506
Nyx	0.6856483380760238	34.582879999999996	511	6.168901158476581
Ariadne	0.7614737204689866	40.93626	646	7.108654425419076
Luna	0.7176233337979521	37.94971	611	6.641624456668611
Minerva	0.7252294267373266	38.78823	589	6.6736509855224595
Jordan	0.679106515807811	37.071810000000006	562	6.2032484322283965
Corey	0.7522553848487671	39.78498	645	7.020916369901243
Theodora	0.6872061412554764	35.92613	534	6.226565888304198
Bathsheba	0.6440824916639941	35.73265	549	5.8615772750991395
Odysseus	0.656445678413106	39.79812	607	6.06920311856214
Ivy	0.7600935961361849	41.42793	654	7.109267005782581
Ivanhoe	0.6488992592350431	31.23173	469	5.757971311474782
Octavia	0.7415481494884141	40.90882	641	6.914328829840997
Unknown_G2.3	0.7028105614501926	36.78928000000001	569	6.4323224485735775
Unknown_G2.2	0.7251675599495403	41.26315	617	6.721669976781969
Wings	0.7648715406116696	39.848009999999995	601	7.0606983662176415
Orf	0.7148865024865368	44.30594000000001	684	6.732695645300814
Juniper	0.7558831899580699	43.151540000000004	673	7.101116429544133
Azalea	0.7260272145569622	42.78147	662	6.803374076448248
Mimosa	0.664975729416207	35.58702	532	6.0215430426171705
Agate	0.755603766319019	38.05141	595	6.9642078836575925
Zanahoria	0.7292679567342036	41.17335	651	6.816112972773877
Rambo_II	0.7418811724565457	39.9083	627	6.8937984677865005
Siobhan	0.7237163279146863	40.4326	575	6.634610196959808
Unknown_G2.1	0.7323279566525613	36.999390000000005	566	6.696888885259075
Talia	0.7261742100529093	42.70738	630	6.752845036870062
LFG_AM (LFM)	0.7388255360599392	45.20292	726	7.021669145494957
LSG_AM (LSM)	0.7614933261389334	49.07911	826	7.37886878553571
LSG_AFO	0.7357892224185705	47.088390000000004	805	7.102459296812134
LSG_Unknown	0.7776910000185521	51.07469	918	7.654307281102423
LSG_AFY	0.7551457430580434	48.77952	831	7.323935542288805
RSG_AM_2	0.7342792734908153	43.86994	724	6.975539936242166
RSG_AM (RSM)	0.7590978351535557	49.57925999999999	868	7.409972408289128
RSG_SubAM_1	0.7227579622875542	42.698029999999996	722	6.863204829410997
UNKG_Unknown_1	0.7694308460336021	49.25928	878	7.5235541583602075
UNKG_Unknown_2	0.7544686426616892	46.6416	808	7.286817707931287
UNKG_Unknown_3	0.7500030616370625	49.92419	857	7.30739337557779
UNKG_Unknown_4	0.7507146068692769	48.29097999999999	847	7.301614041807895
UNKG_Unknown_5	0.7821317316212433	49.09292	846	7.605850859115474
UNKG_Unknown_6	0.7643504275644167	47.09245	781	7.3447798770417245
UNKG_Unknown_7	0.7431833512510782	45.22465000000001	755	7.10508019480572
UNKG_Unknown_8	0.7621484861095491	51.06752	929	7.514429511185974
UNKG_Unknown_9	0.7364034425350799	46.15578	757	7.0430726093456215
UNKG_Unknown_10	0.7610641105430263	45.63604	761	7.284717411965886
UNKG_Unknown_11	0.7521906395424645	44.00143	727	7.150182472112928
UNKG_Unknown_12	0.7618665520290334	46.08578	789	7.3321134079325905
UNKG_Unknown_13	0.7579285101447365	46.01197	755	7.246048821522442
UNKG_Unknown_14	0.7251773450586247	44.75762	771	6.954876454411013
UNKG_Unknown_15	0.7237687496743777	45.60114	783	6.95749381306855
UNKG_Unknown_16	0.7155827408160172	43.33163999999999	739	6.819096034351801
UNKG_Unknown_17	0.7217375089935163	42.44347000000001	701	6.822779999232386
UNKG_Unknown_18	0.7114114519894078	42.75727000000001	716	6.746895152503621
UNKG_Unknown_19	0.7219741765008388	44.92728	762	6.9119260443000625
UNKG_Unknown_20	0.7700703938647785	49.132220000000004	846	7.4885602130155755
UNKG_Unknown_21	0.7409094319644749	47.41177	806	7.15321089572041
UNKG_Unknown_22	0.764111239800749	48.90653	861	7.449984816063623
UNKG_Unknown_23	0.7684381265890026	47.32614	808	7.421737938006181
UNKG_Unknown_24	0.7459053626927096	45.51838	761	7.139621627157414
UNKG_Unknown_25	0.7611430543150536	51.20172	911	7.483031223457204
UNKG_Unknown_26	0.7460746105603921	46.17618999999999	790	7.181496976457044
UNKG_Unknown_27	0.7310750283761528	45.49902	760	6.996282460416232
UNKG_Unknown_28	0.7556993003962045	49.05045	917	7.436668992215197
UNKG_Unknown_29	0.7659558031450621	48.69081	869	7.478189169699125
UNKG_Unknown_30	0.7659127413771278	43.88547	734	7.291210699328233
UNKG_Unknown_31	0.7674601980287115	46.89080000000001	784	7.37890712095326
UNKG_Unknown_32	0.7538607647287078	44.52842	796	7.2646732058465275
URG.1	0.70222119955503	37.18553000000001	558	6.407151412478306
URG.10	0.6520025217990882	29.077620000000003	372	5.567553078885339
URG.11	0.6778932599295838	34.196999999999996	494	6.066037833666004
URG.12	0.7190216893019062	39.49726	634	6.692897654045705
URG.13	0.7020790252817789	36.75699	552	6.394903972370063
URG.14	0.7434351812355453	41.86284000000001	639	6.928572132292088
