sampleID	pielou_e	faith_pd	observed_otus	shannon
UNKGMB37	0.7473104647212575	57.02210000000001	1040	7.489820347961667
UNKGMB10	0.7600910120806774	52.53948000000001	981	7.553867575934401
UNKGMB19	0.7231092009976441	50.96832000000001	865	7.0550556468689045
UNKGMB7	0.7556668460318772	47.14415	818	7.3117999334230515
UNKGMB6	0.7525992400947187	53.49226	992	7.491520578950815
UNKGMB38	0.7327949557446042	50.20054	897	7.1879594684603685
LSGMB16	0.7276420096129115	50.99649	905	7.1467353582048725
UNKGMB5	0.7443432143986403	55.89056	1055	7.4754592105640105
UNKGMB24	0.7139661834239539	49.11313000000001	853	6.951461727184934
UNKGMB26	0.7028953325838388	46.96709	823	6.807364602542133
LSGMB10	0.7360189124424888	53.40662	947	7.277181364475997
UNKGMB28	0.7025975665457375	44.98787	807	6.784580610470724
RSGMB3	0.7301478901977759	53.74688999999999	966	7.2400584079125725
LFGMB1	0.7249276687459186	49.08755	827	7.025813035436197
RSGMB4	0.7347007371423523	46.91193000000001	821	7.112812997584009
UNKGMB36	0.7338188982632172	49.94169000000001	872	7.168078259239832
RSGMB5	0.7223509721307964	48.544059999999995	851	7.03065307938379
UNKGMB12	0.739347513305394	52.77426	949	7.312342299148729
G12MB13	0.7054571272214973	41.708890000000004	689	6.651303881845549
UNKGMB25	0.7134545970616133	49.61923000000001	913	7.016448580280594
RSGMB6	0.7169878490330587	46.48302999999999	800	6.914527705890729
G12MB10	0.7348142769467575	46.8263	762	7.034852635821265
UNKGMB30	0.7612257482035042	53.96603	950	7.529880450549588
UNKGMB14	0.7703667374060079	51.89704999999999	902	7.562677645015459
UNKGMB13	0.7414920920339894	52.912659999999995	938	7.321080730569703
G2MB7	0.7147239255357399	43.12067	617	6.624866606409731
UNKGMB8	0.7565907803376952	50.491009999999996	891	7.414046128776107
G12MB2	0.6767452625103235	39.09644	593	6.234101762108313
AGMB6	0.6404736452083384	39.40502000000001	631	5.957363173891963
UNKGMB21	0.7373941485286364	47.25647000000001	806	7.119272113610276
G12MB17	0.7393146188670657	43.633140000000004	728	7.0292515706848295
G2MB14	0.708882722372984	49.00772	781	6.811780783662683
LSGMB14	0.7286905224087951	50.6465	874	7.120391766242429
G12MB7	0.6344135296535902	35.79214999999999	559	5.790104798721657
LSGMB11	0.690402689059989	44.46312	730	6.5669396098344865
UNKGMB34	0.7515853265646957	54.25943	986	7.474849653594933
UNKGMB20	0.7490429482833979	48.69073	838	7.27381108130755
G2MB6	0.7296666365435159	42.84926	713	6.915603996248617
RSGMB7	0.7124037994541236	46.53736000000001	807	6.879273761742357
LSGMB15	0.7228556292420767	50.45382	880	7.0705109305629685
UNKGMB27	0.7082536734421205	47.53127	823	6.859258786777126
UNKGMB29	0.7120815915149179	48.85806	841	6.918557677119334
RSGMB1	0.7211671459623699	48.82805000000001	843	7.009303896497363
URGMB11	0.6670942686799513	37.74597	562	6.093523445898678
G2MB12	0.6725778559743959	40.00966	668	6.3112717141299335
LSGMB13	0.7651099005688922	57.38416000000001	1049	7.677724036486317
URGMB13	0.6912606948425154	40.40653	637	6.439196758967242
URGMB12	0.7044190956726263	43.27494	715	6.67916058100321
LSGMB20	0.7516611040140424	52.55279	913	7.3921893668252805
UNKGMB33	0.7298027356690655	51.38405	936	7.203419174403398
LSGMB1	0.7229903832200731	49.71532000000001	865	7.053896394529916
LSGMB17	0.73517873926323	51.90012	928	7.247378039678769
G2MB9	0.7126467616776788	46.07346	716	6.75861060201505
G2MB11	0.75329638622419	43.84666	685	7.096021960348594
URGMB2	0.7167733081586398	42.51465	668	6.7259887684990565
G2MB3	0.7394137098879399	42.68019	677	6.952716004472494
URGMB5	0.7015138339425996	42.392379999999996	692	6.618522219792512
G12MB3	0.6320372951690865	38.879509999999996	617	5.858433754869214
G2MB13	0.7433622903625561	47.59179	771	7.1292807553463104
G12MB11	0.7243986193228525	41.75449	663	6.789690508644964
G2MB10	0.7142660881564498	43.79302	674	6.7116761390069595
G12MB4	0.5937710461305343	36.68287	563	5.425280771105272
URGMB4	0.6847989984745977	40.85428	643	6.388267247329267
URGMB6	0.6763697727379596	38.63480000000001	610	6.25822321576675
G12MB1	0.6764374921237009	37.90031000000001	571	6.1943727954635
G2MB15	0.7141738027530667	45.96107	743	6.8112315327991695
URGMB14	0.7315040653950298	45.6735	727	6.953539796571229
AGMB2	0.7259866566903379	43.74560000000001	698	6.858456366871318
AGMB7	0.6549932706472049	39.9618	613	6.0650695256382505
UNKGMB35	0.755919378060866	51.46721	942	7.468168425547844
URGMB3	0.7024469026618037	40.8641	651	6.56542962254821
LSGMB19	0.7202686834680841	48.05615	818	6.969288833410702
FRCMB4	0.4003005536989784	19.99703	228	3.1355102097333454
AGMB1	0.6507953428510196	36.1629	532	5.8931356372248125
FRCMB1	0.4881583207732134	29.789109999999997	401	4.221328784414409
UNKGMB18	0.7502395359437115	54.94855	1048	7.527470616600418
UNKGMB23	0.7467214815000902	49.391259999999996	847	7.26277603332962
UNKGMB17	0.7338076931978985	50.21948	882	7.180040324802341
AGMB5	0.6775954326711998	39.866170000000004	611	6.271165088150639
UNKGMB22	0.7479103499581883	51.40896	903	7.3434192324529395
UNKGMB4	0.7235340497760913	48.36569	845	7.034782308220582
UNKGMB15	0.7527429693073617	50.84990000000001	900	7.387254794009451
G12MB5	0.7458953035469408	48.77855	771	7.1535738387897325
G2MB4	0.713818931736413	45.59606	757	6.827070971908974
UNKGMB9	0.7469086711245938	49.40419000000001	872	7.295941573319223
