# Constructed from biom file
#OTU ID	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	9.0	1.0	29.0	21.0	0.0	0.0	0.0	0.0	1.0	28.0	4.0	7.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	5.0	0.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	4.0	1.0	91.0	998.0	133.0	198.0	27.0	144.0	4.0	1.0	14.0	63.0	22.0	3.0	124.0	1691.0	142.0	133.0	6.0	391.0	88.0	57.0	163.0	57.0	6.0	516.0	56.0	147.0	69.0	2812.0	3147.0	29.0	1.0	460.0	570.0	69.0	99.0	33.0	34.0	22.0	473.0	458.0	319.0	19.0	23.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BS11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	9.0	70.0	199.0	74.0	56.0	78.0	11.0	63.0	22.0	42.0	35.0	19.0	27.0	50.0	57.0	49.0	15.0	56.0	19.0	9.0	28.0	64.0	30.0	13.0	15.0	54.0	55.0	28.0	64.0	74.0	23.0	17.0	32.0	41.0	21.0	10.0	15.0	27.0	20.0	29.0	23.0	29.0	34.0	20.0	25.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	8.0	5.0	4.0	10.0	6.0	17.0	9.0	11.0	4.0	2.0	1.0	3.0	0.0	14.0	13.0	7.0	1.0	24.0	3.0	6.0	1.0	12.0	1.0	7.0	3.0	4.0	3.0	16.0	7.0	19.0	12.0	1.0	92.0	33.0	6.0	9.0	7.0	3.0	14.0	16.0	8.0	17.0	7.0	0.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.0	1.0	1.0	1.0	2.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	0.0	66.0	0.0	0.0	1.0	0.0	0.0	393.0	0.0	279.0	15.0	68.0	15.0	2.0	36.0	1218.0	0.0	90.0	204.0	178.0	100.0	97.0	112.0	425.0	34.0	109.0	74.0	584.0	0.0	1.0	10.0	221.0	30.0	178.0	558.0	184.0	171.0	174.0	446.0	309.0	667.0	113.0	895.0	173.0	189.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__	2.0	30.0	12.0	17.0	11.0	12.0	3.0	8.0	14.0	6.0	7.0	8.0	4.0	7.0	51.0	10.0	3.0	67.0	7.0	64.0	54.0	37.0	95.0	73.0	15.0	27.0	16.0	28.0	1.0	92.0	6.0	15.0	2.0	10.0	26.0	6.0	21.0	41.0	18.0	26.0	20.0	15.0	36.0	24.0	6.0
