# Constructed from biom file
#OTU ID	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
k__Archaea;p__Euryarchaeota;c__Methanobacteria	860.0	571.0	2032.0	412.0	591.0	283.0	1256.0	1754.0	930.0	665.0	25.0	612.0	4016.0	862.0	932.0	1634.0	579.0	109.0	1057.0	343.0	641.0	809.0	612.0	50.0	1128.0	1198.0	189.0	193.0	2135.0	905.0	1407.0	343.0	41.0	1396.0	258.0	548.0	197.0	496.0	682.0	914.0	543.0	1197.0	885.0	279.0	493.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	8.0	11.0	1.0	1.0	0.0	1.0	0.0	7.0	3.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	4.0	3.0	2.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	91.0	270.0	547.0	132.0	53.0	150.0	320.0	468.0	280.0	249.0	206.0	234.0	400.0	208.0	165.0	587.0	333.0	53.0	355.0	147.0	232.0	701.0	235.0	111.0	156.0	308.0	112.0	96.0	661.0	225.0	197.0	162.0	1845.0	392.0	94.0	228.0	121.0	135.0	165.0	245.0	206.0	268.0	241.0	147.0	155.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	15.0	1.0	36.0	26.0	0.0	0.0	0.0	0.0	1.0	44.0	4.0	12.0	0.0	3.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	3.0	6.0	0.0	2.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	21.0	143.0	295.0	1083.0	198.0	296.0	47.0	614.0	32.0	324.0	65.0	154.0	64.0	70.0	230.0	2965.0	158.0	303.0	233.0	585.0	217.0	230.0	306.0	503.0	58.0	683.0	189.0	775.0	141.0	2906.0	3192.0	268.0	156.0	713.0	1156.0	274.0	292.0	238.0	515.0	377.0	1171.0	617.0	1255.0	212.0	238.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Ellin6529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	2.0	30.0	12.0	17.0	11.0	12.0	3.0	8.0	14.0	6.0	7.0	8.0	4.0	7.0	51.0	10.0	3.0	67.0	7.0	64.0	54.0	37.0	95.0	73.0	15.0	27.0	16.0	28.0	1.0	92.0	6.0	15.0	2.0	10.0	26.0	6.0	21.0	41.0	18.0	26.0	20.0	15.0	36.0	24.0	6.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	1.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	39.0	130.0	278.0	1.0	8.0	16.0	199.0	89.0	70.0	106.0	27.0	14.0	65.0	8.0	94.0	81.0	8.0	7.0	156.0	58.0	701.0	671.0	75.0	461.0	15.0	57.0	11.0	13.0	176.0	28.0	147.0	26.0	2849.0	5.0	5.0	5.0	5.0	6.0	4.0	6.0	9.0	13.0	66.0	2.0	9.0
k__Bacteria;p__Firmicutes;c__Clostridia	23169.0	33132.0	64848.0	33492.0	31608.0	34981.0	24464.0	58346.0	41964.0	16885.0	14071.0	22592.0	28154.0	46681.0	64354.0	62639.0	40330.0	23028.0	37270.0	31746.0	32754.0	67736.0	35116.0	27064.0	37528.0	34188.0	38238.0	25720.0	25348.0	33491.0	29188.0	33529.0	16458.0	31612.0	22615.0	34122.0	23535.0	35710.0	31423.0	34740.0	29433.0	40967.0	26461.0	35686.0	35707.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	1992.0	29.0	54.0	34.0	1.0	5.0	10.0	45.0	41.0	19.0	13.0	6.0	28.0	8.0	15.0	82.0	3.0	4.0	25.0	47.0	96.0	82.0	108.0	15.0	19.0	16.0	19.0	24.0	38.0	7.0	45.0	463.0	125.0	6.0	59.0	32.0	268.0	296.0	23.0	22.0	63.0	12.0	18.0	47.0	491.0
k__Bacteria;p__Firmicutes;c__OPB54	0.0	0.0	1.0	0.0	0.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	7.0	2.0	1.0	1.0	3.0	0.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	3.0	2.0	0.0	4.0	0.0	5.0	1.0	1.0	2.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	13.0	3.0	19.0	5.0	5.0	3.0	21.0	22.0	12.0	18.0	3.0	16.0	5.0	6.0	10.0	45.0	9.0	3.0	4.0	69.0	21.0	261.0	45.0	31.0	3.0	22.0	3.0	9.0	141.0	17.0	50.0	2.0	8.0	24.0	3.0	17.0	8.0	1.0	4.0	10.0	5.0	7.0	9.0	5.0	9.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	2.0	3.0	27.0	5.0	0.0	1.0	1.0	7.0	1.0	1.0	0.0	1.0	1.0	11.0	39.0	18.0	4.0	26.0	1.0	2.0	22.0	29.0	20.0	15.0	1.0	3.0	12.0	8.0	28.0	7.0	6.0	5.0	27.0	0.0	8.0	5.0	8.0	1.0	6.0	4.0	13.0	2.0	3.0	1.0	2.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	3.0	1.0	3.0	23.0	0.0	0.0	8.0	7.0	0.0	0.0	2.0	1.0	6.0	0.0	15.0	27.0	42.0	10.0	3.0	7.0	2.0	27.0	1.0	11.0	11.0	1.0	33.0	28.0	14.0	11.0	3.0	5.0	32.0	6.0	1.0	5.0	4.0	1.0	4.0	4.0	2.0	0.0	1.0	9.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	7.0	28.0	48.0	44.0	60.0	38.0	0.0	25.0	23.0	19.0	3.0	1.0	19.0	0.0	20.0	123.0	1.0	20.0	3.0	7.0	19.0	21.0	39.0	4.0	10.0	2.0	14.0	3.0	11.0	48.0	24.0	25.0	98.0	8.0	116.0	18.0	30.0	32.0	28.0	48.0	66.0	20.0	9.0	4.0	5.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	106.0	65.0	868.0	17.0	151.0	41.0	70.0	9.0	4.0	11.0	8.0	1.0	12.0	19.0	41.0	23.0	6.0	5.0	2.0	25.0	772.0	36.0	8.0	9.0	1.0	8.0	1.0	11.0	20.0	17.0	32.0	2.0	0.0	5.0	0.0	8.0	0.0	0.0	3.0	2.0	0.0	0.0	6.0	1.0	1.0
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	122.0	656.0	0.0	0.0	1515.0	1.0	0.0	190.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes	2032.0	2489.0	2066.0	1404.0	1083.0	1185.0	472.0	5172.0	1383.0	978.0	267.0	3437.0	1825.0	3238.0	2006.0	3795.0	1294.0	494.0	762.0	2741.0	3669.0	2213.0	3969.0	566.0	183.0	2299.0	334.0	2774.0	1988.0	2013.0	1255.0	1481.0	1.0	1061.0	444.0	1612.0	2212.0	3854.0	1663.0	1334.0	544.0	1483.0	3504.0	2503.0	1409.0
k__Bacteria;p__Tenericutes;c__RF3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	3.0	7.0	5.0	14.0	18.0	19.0	8.0	15.0	1.0	0.0	3.0	11.0	4.0	9.0	306.0	64.0	0.0	16.0	0.0	1.0	5.0	1.0	12.0	0.0	0.0	0.0	20.0	0.0	5.0	30.0	0.0	1.0	4.0	26.0	44.0	9.0	1.0	6.0	0.0	1.0	24.0	12.0	7.0	5.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	2.0	21.0	2.0	0.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0
